UCffDXn7ycAzwL2LDlbyWOTw;"Canal KondZilla";535000000
UCFFbwnve3yF62-tVXkTyHqg;"Zee Music Company";467000000
UC0C-w0YjGpqDXGB8IHb662A;"Ed Sheeran";428000000
UCfM3zsQsOnfWNUppiycmBuw;"EminemMusic";398000000
UC9CoOnJkIBMdeijd9qYoT_g;"Ariana Grande";390000000
UCqECaJ8Gagnn7YCbPEzWH6g;"Taylor Swift";365000000
UCOmHUn--16B90oW2L6FRR3A;"BLACKPINK";333000000
UCHkj014U2CQ2Nv0UZeYpE_A;"JustinBieberVEVO";332000000
UCJrOtniJ0-NWz37R30urifQ;"Alan Walker";309000000
UC3IZKseVpdzPSBaWxBxundA;"ibighit";303000000
UCP6uH_XlsxrXwZQ4DlqbqPg;"Shemaroo Filmi Gaane";299000000
UC22nIfOTM7KLIQuFGMKzQbg;"Wave Music";295000000
UC56gTxNs4f9xZ7Pa2i5xNzg;"Sony Music India";291000000
UCBVjMGOIkavEAhyqpxJ73Dw;"Maroon 5";284000000
UCK1i2UviaXLUNrZlAFpw_jA;"El Reino Infantil";282000000
UCa10nxShhzNrCE1o2ZOPztg;"Trap Nation";277000000
UCANLZYMidaCbLQFWXBC95Jg;"TaylorSwiftVEVO";271000000
UCOsyDsO5tIt-VZ1iwjdQmew;"Speed Records";267000000
UCNUQK9mQoqi4yNXw2_Rj6SA;"GR6 EXPLODE";266000000
UCjIA3wwhi0QjSOXAZwOXbPA;"Ozuna";265000000
UC3MLnJtqc_phABBriLRhtgQ;"SonyMusicIndiaVEVO";263000000
UCpDJl2EmP7Oh90Vylx0dZtA;"Spinnin' Records";262000000
UCoUM-UJ7rirJYP8CQ0EIaHA;"Bruno Mars";261000000
UC9TO_oo4c_LrOiKNaY6aysA;"Daddy Yankee";261000000
UC2xskkQVFEpLcGFnNSLQY0A;"RihannaVEVO";260000000
UC20vb-R_px4CguHzzBPhoyQ;"EminemVEVO";260000000
UC-8Q-hLdECwQmaWNwXitYDw;"KatyPerryVEVO";259000000
UCbTLwN10NoCU4WDzLf1JMOA;"YRF";256000000
UCaayLD9i5x4MmIoVZxXSv_g;"T-Series Bhakti Sagar";249000000
UCAvCL8hyXjSUHKEGuUPr1BA;"Shawn Mendes";243000000
UC_aEa8K-EOJ3D6gOs7HcyNg;"NoCopyrightSounds";242000000
UCJrDMFOdv1I2k8n9oK_V21w;"Tips Official";239000000
UCLkAepWjdylmXSltofFvsYQ;"BANGTANTV";236000000
UCiGm_E4ZwYSHV3bcW1pnSeQ;"Billie Eilish";228000000
UCt-k6JwNWHMXDBGm9IYHdsg;"J Balvin";228000000
UCbW18JZRgko_mOGm5er8Yzg;"OneDirectionVEVO";228000000
UCM9r1xn6s30OnlJWb-jc3Sw;"XXXTENTACION";228000000
UClZuKq2m0Qu-HkopkSBLpEw;"Maluma";225000000
UC-yXuc1__OzjwpsJPlxYUCQ;"WORLDSTARHIPHOP";224000000
UC1l7wYrva1qCH-wgqcHaaRg;"David Guetta";210000000
UC4NALVCmcmL5ntpV0thoH6w;"LooLoo Kids - Nursery Rhymes and Children's Songs";209000000
UCEf_Bc-KVd7onSeifS3py9g;"SMTOWN";207000000
UCsRM0YB_dabtEPGPTKo-gcw;"Adele";206000000
UCT9zcQNlyht7fRlcjmflRSA;"ImagineDragons";204000000
